urls,programname,programstatus,programshortdesc,programsummary,programhosts,programtopics,programgenres
http://kboo.fm/program/different-nature,A Different Nature,Current,"Sustained Explorations of New, Experimental Music and Sonic Art","Every Monday from 8:00 PM to 10:00 PM.

 

A Different Nature Mission Statement: A Sustained Explorations of New, Experimental Music and Sonic Art
A Different Nature is a curatorial program of genre-defying avant garde music and spoken word that champions historic and modern sound art and spotlights, new, emergent experimental music and audio art generally not heard anywhere else.
The program's format provides the space for deep listening to pieces not confined to pop song lengths and shows are generally focused on an artist, school of music or discipline, record label or art movement.

A Different Nature is a collaborative effort of the ADN Collective, who each curate a show every week on an informal rotating basis, or a group show, depending on the subject at hand.

A Different Nature was founded in the late Seventies by Richard Francis, who fearlessly championed new music and the unheard Avant Garde. His programs went into exhaustive detail on individual artists, labels and musical disciplines. He also spearheaded many important events on the air, such as the 2001 and 2008 Dada and Surrealism festivals that dominated the airwaves for days on end and involved many in the local avant garde community as well as many KBOO programmers.
Richard passed away in 2009 but it's our hope to carry on with his mission of introducing listeners to unheard new music as a collective of his collaborators and listeners.
Long live Papa Dada!

 
","[""Alejandro Ceballos"", ""Andy Hosch"", ""daniel"", ""Danielle Parks"", ""Dr. Zomb"", ""Kathy F"", ""Rich"", ""Rolf Semprebon"", ""gracem"", ""Becky Meiers"", ""Chris Merrick""]",[],"[""Experimental"", ""Eclectic""]"
http://kboo.fm/program/radio-geekly,A Radio Geekly,Current,Every First Friday from 11am - Noon,"A Radio Geekly is a collective, consisting of geeks from all perspectives, who have joined together to discuss “all things geek”. Email us your topics, ideas and comments to: aradiogeekly@kboo.fm. Like us on Facebook! www.facebook.com/radiogeekly Follow us on Twitter! @RadioGeekly

 
","[""justjess"", ""Becky Meiers""]","[""Arts/Culture"", ""Community Building""]","[""Arts and Culture""]"
http://kboo.fm/program/africa-o-ye,Africa-O-Ye!,Current,African music,"Every Thursday from 2:00 PM to 4:00 PM.

1st Thursday
			-
			DJ Golden Wilson
		2nd Thursday
			-
			Andy Hosch
		3rd Thursday
			-
			Mike Johnson
		4th Thursday
			-
			TBA
		5th Thursday
			-
			Don Jacobson
		 

Check out the show Andy did with Ghanaian master drummer Obo Addy

Check out our playlists!
","[""Goldenwilson"", ""Andy Hosch"", ""Michael Johnson"", ""Don Jacobson""]","[""Music""]","[""Afro-Caribbean"", ""World - Ethnic"", ""Folk"", ""Eclectic""]"
http://kboo.fm/program/air-cascadia,Air Cascadia,Current,Local News,"Every weekday from 10:00 AM to 10:15 AM. 
","[""Cris Andreae""]","[""Activism"", ""Civil Liberties"", ""Energy/Natural Resources"", ""Environment/Climate"", ""Government/Politics"", ""War/Peace""]",[]
http://kboo.fm/program/alternative-radio,Alternative Radio,Current,A weekly one-hour progressive radio show featuring lectures & interviews with progressive thinkers.,"Every Tuesday from 9:00 AM to 10:00 AM.

Alternative Radio, established in 1986, is a weekly one-hour public affairs program offered free to all public radio stations in the US, Canada, Europe and beyond. AR provides information, analyses and views that are frequently ignored or distorted in other media.
Our program is carried by over 125 radio stations and heard by millions of listeners. It is produced by David Barsamian in Boulder, Colorado.
Alternative Radio is sustained by donations and by your purchases of season subscriptions, recordings and transcripts. You can make a donation, including a recurring amount charged to your credit card each month, from our donations page.
Because Alternative Radio is a syndicated program, we don't have the permissions from them to post their audio files or transcripts. If you go to the Alternative Radio website, you can download their interviews and lectures for a very low price, and help support their work.
",[],"[""Civil Rights/Human Rights"", ""Corporations"", ""Class"", ""Environment/Climate"", ""Global Affairs"", ""Government/Politics""]",[]
http://kboo.fm/program/evening-afrotainment,An Evening of Afrotainment,Current,Music of the African diaspora by Black Artists...Worldwide.,"Every Saturday from 7:00 PM to 10:00pm.
Black music is to U.S. music what Africa is to civilization... the cornerstone.Don't believe it? Just Listen.Join host Celeste Carey, aka Adiva, to hear music of the African Diaspora by Black artists-worldwide. All genres...from African traditional to esoteric experimental. Slip and slide aurally through the spectrum of the Black experience.I do read posts!  You will concede, for I do read-to capture listeners' thoughts, indeed. Then I'll proceed; your soul to knead, and on my vibe, your ears will feed. Your mind will heed, I'll plant the seed ....the phat-est beats for you I'll breed.Pied piper lead: Adiva's creed ""let not the light from us recede""... In Afrotainment...to all things... what they need. Celestially, Ms AdivaAdiva (Celeste) 
","[""Celeste Carey""]",[],"[""World - Ethnic"", ""Afro-Caribbean"", ""Electronic"", ""Rap - Hip Hop"", ""Soul""]"
http://kboo.fm/program/armando-puentes,Armando Puentes,Current,Playing the best in Tejano/Conjunto music and public affairs pertaining to the Latino community.,"Every Sunday from 1:30 PM to 3:30 PM.
 A little bit of funky Tejano mixed in with some traditional Conjunto as well as Mariachi music.  Offering some public affairs/issues pertaining to the Latino community
","[""Armando""]","[""Latin@/Hispanic""]","[""Latino/a""]"
http://kboo.fm/program/art-focus,Art Focus,Current,"Interviews artists, curators, critics and other art people.","Every Tuesday from 11:30 AM to 12:00 PM.Art Focus features interviews with artists, curators, gallerists, writers and other art people. Page back through KBOO's schedule to find all the podcasts.
	 
Please send inquiries and questions tokbooartfocus@gmail.com
 
","[""Joseph Gallivan"", ""Andre Middleton""]",[],[]
http://kboo.fm/program/artists-rising,Artists Rising,Current,Features the music of local and non-local underground artists,"Every first and third Saturday from 3:00 AM to 6:00 AM.

The Facebook page to link your music or discuss the show: https://www.facebook.com/Artists-Rising-323394307831135/

 
","[""Kyler Ramsey""]",[],"[""Electronic"", ""Rap - Hip Hop"", ""Eclectic"", ""Rock and Roll"", ""Jazz"", ""Experimental""]"
http://kboo.fm/program/astral-traveling,Astral Traveling,Current,"Rare Grooves, Outernational Soundscapes past or present. Interviews and occasional Live DJ Sets. ","Every Sunday from 6:30 PM to 8:00 PM.

Past guests: Phil Ranelin, Micheal White, Brian Auger, Miguel Atwood Ferguson, Rob-Swift, Kid Named Miles, DJ Nobody, Derf Reklaw, Dwight Tribble, Lee Fields, Wunmi, Orgone, Hot 8 Brass Band, Bernard ""Pretty"" Purdie, Teppo Mäkynen, Dr. Lonnie Smith, Tre Hardson, Jungle Fire, Chris Haycock(DO-Over), Carlos Nino, Cut Chemist, Whiskey Barons, Arturo Sandoval, The Polyrhythmics
","[""DJ Sesqui""]",[],"[""Eclectic"", ""Electronic"", ""Experimental"", ""Soul"", ""Rock and Roll""]"
